obstime,tempr,ap,ws,wd,rh,blizzard
02-06-2016 00:00,-13.58,966.75,15.42,76.03,49.4,0
02-06-2016 01:00,-13.95,966.69,14.87,77.85,50.22,0
02-06-2016 02:00,-13.96,966.83,13.08,77.47,49.27,0
02-06-2016 03:00,-14.16,967.02,12.83,78.15,49.02,0
02-06-2016 04:00,-14.49,967.24,13.35,79.85,49.33,0
02-06-2016 05:00,-14.71,967.14,12.84,78.32,48.02,0
02-06-2016 06:00,-14.78,967.27,12.7,76.65,47.16,0
02-06-2016 07:00,-15.01,967.49,13.07,77.32,46.27,0
02-06-2016 08:00,-15.09,967.8,12.07,75.85,46.26,0
02-06-2016 09:00,-15.26,968.08,11.01,76.95,47.23,0
02-06-2016 10:00,-15.31,968.4,11.98,78.68,47.25,0
02-06-2016 11:00,-15.46,968.51,10.8,76.45,47.39,0
02-06-2016 12:00,-15.62,968.56,11.29,77.42,48.22,0
02-06-2016 13:00,-15.72,968.52,10.8,78.02,48.42,0
02-06-2016 14:00,-15.85,968.72,10.77,76.22,48.15,0
02-06-2016 15:00,-15.72,968.98,10.4,72.52,45.32,0
02-06-2016 16:00,-15.89,969.03,11.3,71,45.38,0
02-06-2016 17:00,-15.77,969.23,11.79,64.45,45.54,0
02-06-2016 18:00,-15.71,969.14,14.08,51.75,48.73,0
02-06-2016 19:00,-15.78,969.23,14.52,49.63,49.37,0
02-06-2016 20:00,-15.85,969.22,14.35,48.68,49.1,0
02-06-2016 21:00,-15.98,969.45,14.44,51.17,48.87,0
02-06-2016 22:00,-16.1,969.84,14.54,49.95,51.9,0
02-06-2016 23:00,-16.21,969.67,15.92,48.62,54.95,0
03-06-2016 00:00,-16.3,969.56,16.81,47.02,59.85,0
03-06-2016 01:00,-16.47,969.86,14.46,39.32,66.99,0
03-06-2016 02:00,-18.02,970.1,9.87,184.9,73.61,0
03-06-2016 03:00,-19.04,970.36,5.83,300.75,75.98,0
03-06-2016 04:00,-18.58,970.8,9.78,133.62,76.59,0
03-06-2016 05:00,-21.62,971.39,6.62,306.87,73.53,0
03-06-2016 06:00,-22.84,971.8,2.28,271.02,72.17,0
03-06-2016 07:00,-22.08,972.13,1.25,129.42,72.77,0
03-06-2016 08:00,-21.14,972.29,1.93,74.72,73.78,0
03-06-2016 09:00,-20.24,972.45,4.54,55.03,74.79,0
03-06-2016 10:00,-19.26,972.59,6.19,30.73,75.88,0
03-06-2016 11:00,-18.08,973.16,11.55,44.72,76.1,0
03-06-2016 12:00,-17.92,973.74,11.32,53.88,74.22,0
03-06-2016 13:00,-18.16,974.4,8.75,54.43,71.04,0
03-06-2016 14:00,-18.25,975.24,6.68,64.37,68.87,0
03-06-2016 15:00,-19.16,976.04,6.49,90.73,68.65,0
03-06-2016 16:00,-19.72,976.78,6.16,95.68,66.3,0
03-06-2016 17:00,-19.68,977.4,6.24,107.1,56.6,0
03-06-2016 18:00,-20.6,978.49,4.22,121.83,55.18,0
03-06-2016 19:00,-20.65,979.64,4.62,129.77,53.24,0
03-06-2016 20:00,-20.65,980.99,6.16,132.53,51.17,0
03-06-2016 21:00,-21.1,982.15,3.74,184.33,52.63,0
03-06-2016 22:00,-21.31,983.07,4.41,152.95,54.98,0
